ID,父id,简称,名称,层级,拼音,长途区号,邮编,首字母,经度,纬度
520600,520000,铜仁,铜仁市,"<span class=""text-success"">市</span>",Tongren,856,554300,T,109.191555,27.718346
520527,520500,赫章,赫章县,"<span class=""text-danger"">区/县</span>",Hezhang,857,553200,H,104.726438,27.119243
520526,520500,威宁,威宁彝族回族苗族自治县,"<span class=""text-danger"">区/县</span>",Weining,857,553100,W,104.286523,26.859099
520525,520500,纳雍,纳雍县,"<span class=""text-danger"">区/县</span>",Nayong,857,553300,N,105.375322,26.769875
520524,520500,织金,织金县,"<span class=""text-danger"">区/县</span>",Zhijin,857,552100,Z,105.768997,26.668497
520523,520500,金沙,金沙县,"<span class=""text-danger"">区/县</span>",Jinsha,857,551800,J,106.222103,27.459693
520522,520500,黔西,黔西县,"<span class=""text-danger"">区/县</span>",Qianxi,857,551500,Q,106.038299,27.024923
520521,520500,大方,大方县,"<span class=""text-danger"">区/县</span>",Dafang,857,551600,D,105.609254,27.143521
520502,520500,七星关,七星关区,"<span class=""text-danger"">区/县</span>",Qixingguan,857,551700,Q,104.9497,27.153556
520500,520000,毕节,毕节市,"<span class=""text-success"">市</span>",Bijie,857,551700,B,105.28501,27.301693
520425,520400,紫云,紫云苗族布依族自治县,"<span class=""text-danger"">区/县</span>",Ziyun,851,550800,Z,106.08364,25.75258
520424,520400,关岭,关岭布依族苗族自治县,"<span class=""text-danger"">区/县</span>",Guanling,851,561300,G,105.61883,25.94248
520423,520400,镇宁,镇宁布依族苗族自治县,"<span class=""text-danger"">区/县</span>",Zhenning,851,561200,Z,105.76513,26.05533
520422,520400,普定,普定县,"<span class=""text-danger"">区/县</span>",Puding,851,562100,P,105.74285,26.30141
520403,520400,平坝,平坝区,"<span class=""text-danger"">区/县</span>",Pingba,851,561100,P,106.25683,26.40543
520402,520400,西秀,西秀区,"<span class=""text-danger"">区/县</span>",Xixiu,851,561000,X,105.96585,26.24491
520400,520000,安顺,安顺市,"<span class=""text-success"">市</span>",Anshun,851,561000,A,105.932188,26.245544
520382,520300,仁怀,仁怀市,"<span class=""text-danger"">区/县</span>",Renhuai,851,564500,R,106.40152,27.79231
520381,520300,赤水,赤水市,"<span class=""text-danger"">区/县</span>",Chishui,851,564700,C,105.69845,28.58921
520330,520300,习水,习水县,"<span class=""text-danger"">区/县</span>",Xishui,851,564600,X,106.21267,28.31976
520329,520300,余庆,余庆县,"<span class=""text-danger"">区/县</span>",Yuqing,851,564400,Y,107.88821,27.22532
520328,520300,湄潭,湄潭县,"<span class=""text-danger"">区/县</span>",Meitan,851,564100,M,107.48779,27.76676
520327,520300,凤冈,凤冈县,"<span class=""text-danger"">区/县</span>",Fenggang,851,564200,F,107.71682,27.95461
520326,520300,务川,务川仡佬族苗族自治县,"<span class=""text-danger"">区/县</span>",Wuchuan,851,564300,W,107.88935,28.52227
520325,520300,道真,道真仡佬族苗族自治县,"<span class=""text-danger"">区/县</span>",Daozhen,851,563500,D,107.61152,28.864
520324,520300,正安,正安县,"<span class=""text-danger"">区/县</span>",Zheng'an,851,563400,Z,107.44357,28.5512
520323,520300,绥阳,绥阳县,"<span class=""text-danger"">区/县</span>",Suiyang,851,563300,S,107.19064,27.94702
520322,520300,桐梓,桐梓县,"<span class=""text-danger"">区/县</span>",Tongzi,851,563200,T,106.82568,28.13806
520304,520300,播州,播州区,"<span class=""text-danger"">区/县</span>",BoZhou,851,563100,B,106.83331,27.53772
520303,520300,汇川,汇川区,"<span class=""text-danger"">区/县</span>",Huichuan,851,563000,H,106.9393,27.70625
520302,520300,红花岗,红花岗区,"<span class=""text-danger"">区/县</span>",Honghuagang,851,563000,H,106.89404,27.64471
520300,520000,遵义,遵义市,"<span class=""text-success"">市</span>",Zunyi,851,563000,Z,106.937265,27.706626
520281,520200,盘州,盘州市,"<span class=""text-danger"">区/县</span>",Panzhou,858,553500,P,104.47061,25.7136
520221,520200,水城,水城县,"<span class=""text-danger"">区/县</span>",Shuicheng,858,553600,S,104.95764,26.54785
520203,520200,六枝,六枝特区,"<span class=""text-danger"">区/县</span>",Liuzhi,858,553400,L,105.48062,26.20117
520201,520200,钟山,钟山区,"<span class=""text-danger"">区/县</span>",Zhongshan,858,553000,Z,104.87848,26.57699
520200,520000,六盘水,六盘水市,"<span class=""text-success"">市</span>",Liupanshui,858,553000,L,104.846743,26.584643
520181,520100,清镇,清镇市,"<span class=""text-danger"">区/县</span>",Qingzhen,851,551400,Q,106.46862,26.55261
520123,520100,修文,修文县,"<span class=""text-danger"">区/县</span>",Xiuwen,851,550200,X,106.59487,26.83783
520122,520100,息烽,息烽县,"<span class=""text-danger"">区/县</span>",Xifeng,851,551100,X,106.738,27.09346
520121,520100,开阳,开阳县,"<span class=""text-danger"">区/县</span>",Kaiyang,851,550300,K,106.9692,27.05533
520115,520100,观山湖,观山湖区,"<span class=""text-danger"">区/县</span>",Guanshanhu,851,550009,G,106.625442,26.618209
520113,520100,白云,白云区,"<span class=""text-danger"">区/县</span>",Baiyun,851,550000,B,106.63088,26.68284
520112,520100,乌当,乌当区,"<span class=""text-danger"">区/县</span>",Wudang,851,550000,W,106.7521,26.6302
520111,520100,花溪,花溪区,"<span class=""text-danger"">区/县</span>",Huaxi,851,550000,H,106.67688,26.43343
520103,520100,云岩,云岩区,"<span class=""text-danger"">区/县</span>",Yunyan,851,550000,Y,106.72485,26.60484
520102,520100,南明,南明区,"<span class=""text-danger"">区/县</span>",Nanming,851,550000,N,106.7145,26.56819
520100,520000,贵阳,贵阳市,"<span class=""text-success"">市</span>",Guiyang,851,550000,G,106.713478,26.578343
520000,100000,贵州,贵州省,"<span class=""text-primary"">省</span>",Guizhou,,,G,106.713478,26.578343
513437,513400,雷波,雷波县,"<span class=""text-danger"">区/县</span>",Leibo,834,616550,L,103.57287,28.26407
513436,513400,美姑,美姑县,"<span class=""text-danger"">区/县</span>",Meigu,834,616450,M,103.13116,28.32596
513435,513400,甘洛,甘洛县,"<span class=""text-danger"">区/县</span>",Ganluo,834,616850,G,102.77154,28.96624
513434,513400,越西,越西县,"<span class=""text-danger"">区/县</span>",Yuexi,834,616650,Y,102.5079,28.64133
513433,513400,冕宁,冕宁县,"<span class=""text-danger"">区/县</span>",Mianning,834,615600,M,102.17108,28.55161
513432,513400,喜德,喜德县,"<span class=""text-danger"">区/县</span>",Xide,834,616750,X,102.41336,28.30739
513431,513400,昭觉,昭觉县,"<span class=""text-danger"">区/县</span>",Zhaojue,834,616150,Z,102.84661,28.01155
513430,513400,金阳,金阳县,"<span class=""text-danger"">区/县</span>",Jinyang,834,616250,J,103.24774,27.69698
513429,513400,布拖,布拖县,"<span class=""text-danger"">区/县</span>",Butuo,834,615350,B,102.81234,27.7079
513428,513400,普格,普格县,"<span class=""text-danger"">区/县</span>",Puge,834,615300,P,102.54055,27.37485
513427,513400,宁南,宁南县,"<span class=""text-danger"">区/县</span>",Ningnan,834,615400,N,102.76116,27.06567
513426,513400,会东,会东县,"<span class=""text-danger"">区/县</span>",Huidong,834,615200,H,102.57815,26.63429
513425,513400,会理,会理县,"<span class=""text-danger"">区/县</span>",Huili,834,615100,H,102.24539,26.65627
513424,513400,德昌,德昌县,"<span class=""text-danger"">区/县</span>",Dechang,834,615500,D,102.18017,27.40482
